"自動実行","自動実行"
"\n<ライム>やっぱりね！","\n<Lime>I knew it!"
"\n<ライム>逃げる時間そんなにないよなー、って思ってたの。
どこかに隠れてたのかな？
待ってたら来ると思ったよー！","\n<Lime>I was just thinking, ""there was no time to escape at all-"".
You hid somewhere, right? So I thought to wait here, just in case!"
"ーーーーー基本変更点ーーーーー","ーーーーーBasic Changesーーーーー"
"\n<ライム>にへへへへー♥
つーかまーえた♥","\n<Lime>Ehehehehe-♥
Caught you-♥"
"\n<\n[3]>ぬるぬるして動きにくいでしょー。
早く逃げないと白いの出させちゃうぞー？","\n<\n[3]>It's hard to move when everything is so slippery right?
If you don't escape soon, you'll let out your white stuff right?"
"\C[3]※捕まるとタイミングバーが表示されます。
\C[0]タイミングよく黄か赤で止めてください。
赤で止めると被ダメージが半減します。","\C[3]※A timing bar will display if you're caught.
\C[0]Go ahead and stop in the red or yellow areas. Red areas will reduce damage taken by half."
"\n<\n[3]>むにゅー・・・♥
柔らかくて溶けちゃいそうでしょー♥
気持ちいい気持ちいいー♥","\n<\n[3]>Squish-...♥
They're so soft you're about to melt aren't you?♥Feels so good- Feels so good-♥"
"\n<\n[3]>あれー？もう出ちゃうのー？
おっぱい我慢できなかったー？あはは♥
じゃあ一回だけ、出しちゃおっかー♪","\n<\n[3]>What's this? You're about to cum already-?
So you couldn't resist my boobs after all? Ahaha♥Well then, I'll give you one more pump, let it all out♪"
"\n<\n[3]>あっあっ♥おっぱいの間でぴくぴくしてるー♥
おちんちん喜んでくれたみたい♥
うれしー♥","\n<\n[3]>Ahh ahh♥ It's shooting between my boobies-♥
Your penis seems delighted too♥ I'm so happy-♥"
"\C[1]SAN値が1下がった・・・（現在SAN値\v[270]）","\C[1]Sanity decreased by 1... (Current Sanity: \v[270]）"
"\n<ライム>もうー。ひょっとして全然抵抗する気ないのー？
ゲームはまだ始まったばかりなのに。
次は本気で搾っちゃうからねー？","\n<Lime>Whoa- Were you seriously not trying to resist at all-?
And the game has only just started, next time I'llmilk you for real okay?"
"\n<ライム>あっ！逃げられちゃった・・・
まぁいいっかー。","\n<Lime>Ah! You escaped...
Oh well-."
"\n<ライム>えーっと、リリーの行ってたこと、
聞こえてたかな？
脱出ゲームがどーのこーの・・・","\n<Lime>Oh and...you heard what Lily said right?
About this escape game thingy..."
"\n<ライム>この館は広いからねー。
なかなか出られないと思うけど・・・
頑張って色んなところ、探してみてね。","\n<Lime>This mansion is very, very big-.
I don't think you'll get out...but feel free to try your hardest,and search everywhere you can okay?"
"\n<ライム>リリーもシィナも楽しそうだから。
簡単に諦めたりしちゃーダメだよー？
いっぱい遊ばれてね。","\n<Lime>Lily and Shina seem to be happy after all.
So you shouldn't give up so easily OK? Enjoy yourself as much as possible now-"
"\n<ライム>次は一回射精したぐらいじゃ
許してあげないからねー？くすくす♥
ばいばーい♥","\n<Lime>Next time you cum, I won't go easy on you now alright?
Teehee♥ Bye bye♥"
"\n<ライム>じゃー頑張ってねー。
次は私も本気でぴゅっぴゅさせにいっちゃうからねー。","\n<Lime>Now then, do your best okay?
Next time I'll make you go pew pew for realsies-"
"ドア","ドア"
"玄関扉は固く閉ざされている・・・","The entrance door has been shut tight..."
"\n<？？？>開かないよ。","\n<???>It won't open."
"\n<？？？>あたしも閉じ込められて困ってんの。
あんた誰？","\n<???>I'm afraid it means I can't get out either.
Who are you?"
"MP_SET_MOVIE e8_Ta","MP_SET_MOVIE e8_Ta"
"MP_SET_LOOP 6 on","MP_SET_LOOP 6 on"
"\n<アーコ>あーあー警戒しないで。
あたし中立だから。ちゅーりつ。
知ってる？ちゅーりつって言葉。チューリップじゃないよ。","\n<???>Ah, there's no need to look so cautious.
I'm a neutral party. Neutral party. Not the natural party.
Do you understand? I'm not related to anyone here. "
"\n<？？？>こんなところに人間が居るなんて珍しーね。
リリーたちに捕まったのかな？","\n<???>It's rare to see humans in places like these, you know.
Did Lily and her gang capture you?"
"\n<？？？>あたしアーコ。
黒猫のアーコだよ。よろしく。
あんたは？","\n<???>The name's Ako, Ako the black cat.
Nice to meet you. What's your name?"
"\n[1]・・・","\n[1]..."
"擬態型かァ～？","Friend or foe...?"
"\n<アーコ>友好型だよ。アーコだよ。
名前。教えてよ。","\n<Ako>Friend! And it's Ako!
What's yours?"
"\n<アーコ>\n[1]。
うん。覚えた。フツーだね。
フツーにいい名前。フツー。","\n<Ako>\n[1].
I see. I'll remember that. What an ordinary name.
Ordinary, ordinary."
"\n<シィナ>アーコ来てんのかー！？","\n<Shina>So did you bring them or not, Ako-!?"
"\n<アーコ>隠れて！","\n<Ako>Hide!"
"\n<シィナ>タバコにゃ。
持ってきたにゃ？","\n<Shina>My cigarettes-nya.
You brought them, right-nya?"
"\n<アーコ>ほいほい。
税金上がったから1箱540Gだよ。
何個欲しいの？しぃにゃん。","\n<Ako>Right here.
Due to increases in tax, one box is 540G.
How many do you want? Shin-nya?"
"\n<シィナ>淫魔が税金納めてんじゃねー！
カートンにゃ！
あと次しぃにゃんって呼んだら殺す！","\n<Shina>Succubus don't pay taxes!!
A whole carton! A-And call me Shin-nya again and
you'll really be in for it!"
"\n<アーコ>5400G！まいどー♪
あたし、しぃにゃんの怒った顔好き。","\n<Ako>And that comes to 5400G!
Pleasure doing business with you♪
I'll never get sick of seeing Shin-nyan's flustered face."
"\n<シィナ>アーココロス！","\n<Shina>I'll, I'll kill you!"
"\n<アーコ>（やっぱりシィナは怒った時の顔が一番可愛い・・・）","\n<Ako>(Shina's face is the cutest when she's angry after all...)"
"\n<シィナ>あーお前と話してるとほんと調子狂うにゃ。
はよ帰れし。
じゃーなバーカ。","\n<Shina>S-Speaking with you really makes me mad-nya.
Now go home. See ya later, idiot."
"\n<アーコ>帰りたくても帰れないよ。
玄関開かないもん。","\n<Ako>I can't go back even if I want to.
The door won't open."
"\n<シィナ>あ。そうにゃ。
今人間と脱出ゲームやってるから全部閉め切ってるにゃん。","\n<Shina>Ah. That's right-nya.
Because of an escape game we're playing with a human right
now, it's completely shut-nya."
"\n<アーコ>脱出ゲーム？","\n<Ako>An escape game?"
"\n<シィナ>人間がここから脱出するのが先か
アタシらにチンポ犯されまくって干物になるのが先かの・・・","\n<Shina>A game of what will come first...
The human escaping, or getting their dick totally
milked until they become our semen slave..."
"\n<シィナ>まさにセイシをかけたゲームにゃ！","\n<Shina>A game of life and death-nya!"
"\n<アーコ>そう・・・
（また妙なことやってる・・・）","\n<Ako>I see...
(So they're doing weird stuff again...)"
"\n<シィナ>邪魔すんなよ。","\n<Shina>You'd better not get in our way."
"\n<アーコ>えっ？ちょっと待って。
それってあたしも出られないってコト？","\n<Ako>Eh? Wait just a moment.
Are you saying that I can't get out either now?"
"\n<シィナ>お前のことは知らんし。
大人しく床の溝でもなぞっとけにゃ。
カートンありがとにゃー。","\n<Shina>I don't know about you.
Trace the grooves of the floor or something.
Thanks for the cigars-nya."
"\n<アーコ>なるほどねー。
事情は分かったよ。","\n<Ako>I see-
I think I understand your circumstances."
"\n<アーコ>どうやら\n[1]が出口を見つけるか干物になるまで
あたしも出られなくなっちゃったみたい。
うーん。","\n<Ako>It seems that until \n[1] gets milked or
finds a way out, I'm stuck here. Haah..."
"\n<アーコ>今ここで干物にしちゃうか・\.・\.・\.","\n<Ako>Maybe I could milk you a little now.\..\..\."
"\n<アーコ>冗談だよ。
うける。","\n<Ako>Just joking!
Gotcha."
"\n<アーコ>ところであたしは淫魔だけどお店をやってるんだよ。
黒猫屋！
精力剤とか必要でしょ？売ってあげるよ！","\n<Ako>By the way, I may be a succubus, but I also 
run a shop. It's called the Black Cat! You need medicine?
I sell it all!"
"\n<アーコ>お金無いの？
じゃあ、もしこの館でお金になりそうなものあったら
あたしに持ってきて。買い取ってあげる。","\n<Ako>You don't have any money?
Well, if you find anything in this house that you think
is worth something, bring it to me. I'll buy it."
"\n<アーコ>あたしここに居るから。
何かあったら話しかけてね。
じゃ。","\n<Ako>I'll be waiting right here.
Come chat if you need something alright? Till then!"
"シィナイベ用","シィナイベ用"
"アーコ","アーコ"
"\n<アーコ>やぁやぁ。アーコだよ。
何か欲しい物とかあるの？
見てく？","\n<Ako>Salutations. Ako here!
Are you here to buy something?
Want to look?"
"\n<アーコ>武器になりそうなものとか見つけた？
まずはそういうの探すといいかもね。","\n<Ako>Have you found anything you could use as a weapon?
If not, you should probably find something like that first."
"\n<アーコ>何食べたらそんなにおっぱい大きくなるの？
横縞模様だからおっぱい大きく見えるの？
錯覚？","\n<Ako>What do you eat to make your boobs so big?
Is it the stripes that make them look bigger?
Is it some kind of illusion?"
"\n<アーコ>囚人服に合ってるよ。
まさに囚人って感じ。
褒めてないよ。","\n<Ako>That prison outfit suits you.
I mean, you are a prisoner I guess.
Don't take it as a compliment."
"\n<アーコ>あたしは淫魔だし、気持ちが分かるから
どっちの味方もしないよ。
でも仲良くしたいって思ってる。","\n<Ako>I'm a succubus, and I know how you feel.
I won't pick sides.
But I hope we can be friends."
"\n<アーコ>シィナは猫の時からの友達だよ。
リリーに淫魔にされたんだってさ。
あたしは違うやつに淫魔にされたけど。","\n<Ako>Shina has been my friend since we were just cats!
Lily turned her into a succubus, and now she's like that.
A different person turned me into a succubus though."
"\n<アーコ>あたしも淫魔だから精液が一番美味しいと思うけど
カリカリもかつおぶしも同じくらい美味しいと思う。
一番がいっぱいあるといいね。","\n<Ako>I'm a succubus as well so of course semen is the most delicious
thing in the world... But I love crisps and katsuobushi as well.
I can never get enough of them~"
"\n<アーコ>ここは元々大金持ちが住んでたんだって。
メイドも使用人もいっぱい居たってさ。
なんでこんな森の中に？って感じ。","\n<Ako>A very rich person used to live here...
And lots of maids and servants too. It makes me think-
What was it doing out in the forest?"
"\n<アーコ>みんなお金に興味ないから
あたしがこの館から色々持って行っても何とも思わないんだよ。
だから、ここで仕入れて町で売ったりする。","\n<Ako>Because no one has any interest in gold here,
they don't care if I take stuff from the mansion.
So, I just take it to town and sell it."
"\n<アーコ>その見返りにタバコとか持ってきてあげるの。
まぁ、それもお金取るけどね。","\n<Ako>I'll give you cigars and stuff for something good.
...Well, for the right price that is."
"\n<アーコ>淫魔の巣に閉じ込められるのは
人間にとって辛いでしょ。
少しでもえっちな気分になるとすぐ硬くなっちゃう。","\n<Ako>It must be so difficult being a human 
locked up in the succubus hideout.
Even being just a bit aroused will make you hard."
"\n<アーコ>行き詰ったらとりあえず攻撃してみたらいいよ。
壊せるものとかあるかもしれないし。","\n<Ako>If things look hopeless, just keep attacking.
You might just make a break through."
"\n<アーコ>お兄ちゃんも下に居るの？
面白そうだから後で行ってみよー。","\n<Ako>Your big brother is down there too right?
How interesting, I'll be sure to give him a visit later-."
"\n<アーコ>妹も捕まってるの？
後で行ってみよー。
仲良くなれるかな？","\n<Ako>So your sister has been captured as well?
I'll go and visit her later-.
I wonder if we would get along well?"
"買い物","I'd like to buy something."
"用事はない","I don't need anything right now"
"\n<アーコ>何を買ってくれるのかな？","\n<Ako>What would you like to buy?"
"\n<アーコ>ははーん。さては冷やかしだな？
ふーん！","\n<Ako>Yeah yeah. Did you come just to stare?
Hmmph!"
"\n<アーコ>まいどあり～！","\n<Ako>Thank you for your purchase-!"
"\n<アーコ>ふーん。","\n<Ako>Hmmph."
"食糧庫ドア","Pantry Door"
"食糧庫の鍵を開けた！","Unlocked the pantry!"
"食糧庫のようだ。
鍵がかかっている・・・","Looks like the pantry.
It's locked…"
"植物","植物"
" <enemy:99>"," <enemy:99>"
"クマのぬいぐるみだ。
少しお腹がぽっこりしている。","It's a teddy bear.
The stomach is a little overstuffed."
"変数203（ARGP攻撃種類）
1斬　2打撃　3水　4火　5雷
6誘惑　7食べ物
特殊206（個別攻撃種類）
1リンゴ　2皿　3卵",
"クマの中から小さな箱が出て来た・・・","A small box came out from inside the bear..."
"いわ","いわ"
" <enemy:145>"," <enemy:145>"
"瓦礫を壊せば通れそうだ・・・","You could pass by if you broke this rubble..."
"EV023","EV023"
"浴場の鍵を開けた！","Unlocked the bathroom!"
"この先は浴場のようだ。
鍵がかかっている・・・","Looks like the bathroom.
It's locked…"
"応接室の鍵を開けた！","Unlocked the parlor!"
"応接室の扉だ。
鍵がかかっている・・・","The parlor.
It's locked..."
"倉庫の鍵を開けた！","Unlocked the warehouse!"
"倉庫の扉だ。
鍵がかかっている・・・","The warehouse.
It's locked…"
"梯子","Ladder"
"引っかけ場所","引っかけ場所"
"<TE:立体起動>","<TE:立体起動>"
